CustomerNumber,profileDeviceInterval,ProfileDeviceIntervalReading
1,30/06/2015 10:30,0.026
1,30/06/2015 11:00,0.027
1,30/06/2015 11:30,0.028
1,30/06/2015 12:00,0.027
1,30/06/2015 12:30,0.027
1,30/06/2015 13:00,0.028
1,30/06/2015 13:30,0.028
1,30/06/2015 14:00,0.039
1,30/06/2015 14:30,0.028
1,30/06/2015 15:00,0.028
1,30/06/2015 15:30,0.027
1,30/06/2015 16:00,0.028
1,30/06/2015 16:30,0.027
1,30/06/2015 17:00,0.027
1,30/06/2015 17:30,0.027
1,30/06/2015 18:00,0.027
1,30/06/2015 18:30,0.027
1,30/06/2015 19:00,0.028
1,30/06/2015 19:30,0.027
1,30/06/2015 20:00,0.028
1,30/06/2015 20:30,0.028
1,30/06/2015 21:00,0.038
1,30/06/2015 21:30,0.028
1,30/06/2015 22:00,0.04
1,30/06/2015 22:30,0.051
1,30/06/2015 23:00,0.028
1,30/06/2015 23:30,0.028
1,01/07/2015 00:00,0.028
1,01/07/2015 00:30,0.04
1,01/07/2015 01:00,0.028
1,01/07/2015 01:30,0.029
1,01/07/2015 02:00,0.028
1,01/07/2015 02:30,0.028
1,01/07/2015 03:00,0.028
1,01/07/2015 03:30,0.028
1,01/07/2015 04:00,0.028
1,01/07/2015 04:30,0.028
1,01/07/2015 05:00,0.027
1,01/07/2015 05:30,0.028
1,01/07/2015 06:00,0.028
1,01/07/2015 06:30,0.027
1,01/07/2015 07:00,0.027
1,01/07/2015 07:30,0.028
1,01/07/2015 08:00,0.027
1,01/07/2015 08:30,0.028
1,01/07/2015 09:00,0.027
1,01/07/2015 09:30,0.027
1,01/07/2015 10:00,0.027
1,01/07/2015 10:30,0.027
1,01/07/2015 11:00,0.028
1,01/07/2015 11:30,0.027
1,01/07/2015 12:00,0.028
1,01/07/2015 12:30,0.028
1,01/07/2015 13:00,0.027
1,01/07/2015 13:30,0.027
1,01/07/2015 14:00,0.028
1,01/07/2015 14:30,0.039
1,01/07/2015 15:00,0.028
1,01/07/2015 15:30,0.027
1,01/07/2015 16:00,0.028
1,01/07/2015 16:30,0.027
1,01/07/2015 17:00,0.028
1,01/07/2015 17:30,0.028
1,01/07/2015 18:00,0.039
1,01/07/2015 18:30,0.028
1,01/07/2015 19:00,0.028
1,01/07/2015 19:30,0.028
1,01/07/2015 20:00,0.027
1,01/07/2015 20:30,0.04
1,01/07/2015 21:00,0.028
1,01/07/2015 21:30,0.039
1,01/07/2015 22:00,0.04
1,01/07/2015 22:30,0.04
1,01/07/2015 23:00,0.028
1,01/07/2015 23:30,0.04
1,02/07/2015 00:00,0.03
1,02/07/2015 00:30,0.046
1,02/07/2015 01:00,0.028
1,02/07/2015 01:30,0.028
1,02/07/2015 02:00,0.028
1,02/07/2015 02:30,0.028
1,02/07/2015 03:00,0.028
1,02/07/2015 03:30,0.028
1,02/07/2015 04:00,0.028
1,02/07/2015 04:30,0.029
1,02/07/2015 05:00,0.027
1,02/07/2015 05:30,0.028
1,02/07/2015 06:00,0.028
1,02/07/2015 06:30,0.027
1,02/07/2015 07:00,0.027
1,02/07/2015 07:30,0.028
1,02/07/2015 08:00,0.027
1,02/07/2015 08:30,0.028
1,02/07/2015 09:00,0.028
1,02/07/2015 09:30,0.028
1,02/07/2015 10:00,0.039
1,02/07/2015 10:30,0.027
1,02/07/2015 11:00,0.028
1,02/07/2015 11:30,0.163
1,02/07/2015 12:00,0.028
1,02/07/2015 12:30,0.027
1,02/07/2015 13:00,0.028
1,02/07/2015 13:30,0.027
1,02/07/2015 14:00,0.028
1,02/07/2015 14:30,0.027
1,02/07/2015 15:00,0.028
1,02/07/2015 15:30,0.028
1,02/07/2015 16:00,0.027
1,02/07/2015 16:30,0.028
1,02/07/2015 17:00,0.028
1,02/07/2015 17:30,0.028
1,02/07/2015 18:00,0.04
1,02/07/2015 18:30,0.027
1,02/07/2015 19:00,0.027
1,02/07/2015 19:30,0.028
1,02/07/2015 20:00,0.027
1,02/07/2015 20:30,0.028
1,02/07/2015 21:00,0.027
1,02/07/2015 21:30,0.028
1,02/07/2015 22:00,0.04
1,02/07/2015 22:30,0.028
1,02/07/2015 23:00,0.027
1,02/07/2015 23:30,0.028
1,03/07/2015 00:00,0.028
1,03/07/2015 00:30,0.028
1,03/07/2015 01:00,0.028
1,03/07/2015 01:30,0.028
1,03/07/2015 02:00,0.028
1,03/07/2015 02:30,0.028
1,03/07/2015 03:00,0.028
1,03/07/2015 03:30,0.027
1,03/07/2015 04:00,0.028
1,03/07/2015 04:30,0.028
1,03/07/2015 05:00,0.028
1,03/07/2015 05:30,0.028
1,03/07/2015 06:00,0.028
1,03/07/2015 06:30,0.027
1,03/07/2015 07:00,0.028
1,03/07/2015 07:30,0.029
1,03/07/2015 08:00,0.028
1,03/07/2015 08:30,0.028
1,03/07/2015 09:00,0.027
1,03/07/2015 09:30,0.028
1,03/07/2015 10:00,0.028
1,03/07/2015 10:30,0.027
1,03/07/2015 11:00,0.027
1,03/07/2015 11:30,0.289
1,03/07/2015 12:00,0.028
1,03/07/2015 12:30,0.027
1,03/07/2015 13:00,0.028
1,03/07/2015 13:30,0.027
1,03/07/2015 14:00,0.04
1,03/07/2015 14:30,0.028
1,03/07/2015 15:00,0.027
1,03/07/2015 15:30,0.028
1,03/07/2015 16:00,0.027
1,03/07/2015 16:30,0.028
1,03/07/2015 17:00,0.027
1,03/07/2015 17:30,0.028
1,03/07/2015 18:00,0.027
1,03/07/2015 18:30,0.027
1,03/07/2015 19:00,0.039
1,03/07/2015 19:30,0.04
1,03/07/2015 20:00,0.027
1,03/07/2015 20:30,0.027
1,03/07/2015 21:00,0.039
1,03/07/2015 21:30,0.027
1,03/07/2015 22:00,0.055
1,03/07/2015 22:30,0.041
1,03/07/2015 23:00,0.028
1,03/07/2015 23:30,0.029
1,04/07/2015 00:00,0.028
1,04/07/2015 00:30,0.029
1,04/07/2015 01:00,0.029
1,04/07/2015 01:30,0.028
1,04/07/2015 02:00,0.029
1,04/07/2015 02:30,0.029
1,04/07/2015 03:00,0.028
1,04/07/2015 03:30,0.028
1,04/07/2015 04:00,0.028
1,04/07/2015 04:30,0.028
1,04/07/2015 05:00,0.028
1,04/07/2015 05:30,0.028
1,04/07/2015 06:00,0.028
1,04/07/2015 06:30,0.028
1,04/07/2015 07:00,0.027
1,04/07/2015 07:30,0.027
1,04/07/2015 08:00,0.027
1,04/07/2015 08:30,0.028
1,04/07/2015 09:00,0.027
1,04/07/2015 09:30,0.027
1,04/07/2015 10:00,0.028
1,04/07/2015 10:30,0.027
1,04/07/2015 11:00,0.028
1,04/07/2015 11:30,0.028
1,04/07/2015 12:00,0.163
1,04/07/2015 12:30,0.028
1,04/07/2015 13:00,0.028
1,04/07/2015 13:30,0.027
1,04/07/2015 14:00,0.028
1,04/07/2015 14:30,0.027
1,04/07/2015 15:00,0.027
1,04/07/2015 15:30,0.027
1,04/07/2015 16:00,0.027
1,04/07/2015 16:30,0.026
1,04/07/2015 17:00,0.028
1,04/07/2015 17:30,0.027
1,04/07/2015 18:00,0.027
1,04/07/2015 18:30,0.027
1,04/07/2015 19:00,0.027
1,04/07/2015 19:30,0.027
1,04/07/2015 20:00,0.027
1,04/07/2015 20:30,0.028
1,04/07/2015 21:00,0.027
1,04/07/2015 21:30,0.028
1,04/07/2015 22:00,0.039
1,04/07/2015 22:30,0.028
1,04/07/2015 23:00,0.027
1,04/07/2015 23:30,0.028
1,05/07/2015 00:00,0.027
1,05/07/2015 00:30,0.028
1,05/07/2015 01:00,0.028
1,05/07/2015 01:30,0.027
1,05/07/2015 02:00,0.04
1,05/07/2015 02:30,0.028
1,05/07/2015 03:00,0.028
1,05/07/2015 03:30,0.036
1,05/07/2015 04:00,0.033
1,05/07/2015 04:30,0.029
1,05/07/2015 05:00,0.028
1,05/07/2015 05:30,0.028
1,05/07/2015 06:00,0.028
1,05/07/2015 06:30,0.028
1,05/07/2015 07:00,0.028
1,05/07/2015 07:30,0.028
1,05/07/2015 08:00,0.028
1,05/07/2015 08:30,0.027
1,05/07/2015 09:00,0.027
1,05/07/2015 09:30,0.027
1,05/07/2015 10:00,0.028
1,05/07/2015 10:30,0.027
1,05/07/2015 11:00,0.027
1,05/07/2015 11:30,0.028
1,05/07/2015 12:00,0.027
1,05/07/2015 12:30,0.027
1,05/07/2015 13:00,0.027
1,05/07/2015 13:30,0.028
1,05/07/2015 14:00,0.029
1,05/07/2015 14:30,0.027
1,05/07/2015 15:00,0.027
1,05/07/2015 15:30,0.027
1,05/07/2015 16:00,0.027
1,05/07/2015 16:30,0.027
1,05/07/2015 17:00,0.027
1,05/07/2015 17:30,0.028
1,05/07/2015 18:00,0.027
1,05/07/2015 18:30,0.028
1,05/07/2015 19:00,0.028
1,05/07/2015 19:30,0.027
1,05/07/2015 20:00,0.028
1,05/07/2015 20:30,0.027
1,05/07/2015 21:00,0.027
1,05/07/2015 21:30,0.032
1,05/07/2015 22:00,0.058
1,05/07/2015 22:30,0.027
1,05/07/2015 23:00,0.028
1,05/07/2015 23:30,0.027
1,06/07/2015 00:00,0.028
1,06/07/2015 00:30,0.028
1,06/07/2015 01:00,0.028
1,06/07/2015 01:30,0.029
1,06/07/2015 02:00,0.028
1,06/07/2015 02:30,0.028
1,06/07/2015 03:00,0.028
1,06/07/2015 03:30,0.028
1,06/07/2015 04:00,0.029
1,06/07/2015 04:30,0.028
1,06/07/2015 05:00,0.028
1,06/07/2015 05:30,0.029
1,06/07/2015 06:00,0.028
1,06/07/2015 06:30,0.028
1,06/07/2015 07:00,0.027
1,06/07/2015 07:30,0.028
1,06/07/2015 08:00,0.027
1,06/07/2015 08:30,0.028
1,06/07/2015 09:00,0.028
1,06/07/2015 09:30,0.028
1,06/07/2015 10:00,0.028
1,06/07/2015 10:30,0.028
1,06/07/2015 11:00,0.04
1,06/07/2015 11:30,0.028
1,06/07/2015 12:00,0.028
1,06/07/2015 12:30,0.028
1,06/07/2015 13:00,0.028
1,06/07/2015 13:30,0.027
1,06/07/2015 14:00,0.04
1,06/07/2015 14:30,0.028
1,06/07/2015 15:00,0.028
1,06/07/2015 15:30,0.028
1,06/07/2015 16:00,0.027
1,06/07/2015 16:30,0.028
1,06/07/2015 17:00,0.027
1,06/07/2015 17:30,0.027
1,06/07/2015 18:00,0.028
1,06/07/2015 18:30,0.028
1,06/07/2015 19:00,0.027
1,06/07/2015 19:30,0.026
1,06/07/2015 20:00,0.05
1,06/07/2015 20:30,0.039
1,06/07/2015 21:00,0.039
1,06/07/2015 21:30,0.027
1,06/07/2015 22:00,0.032
1,06/07/2015 22:30,0.034
1,06/07/2015 23:00,0.051
1,06/07/2015 23:30,0.028
1,07/07/2015 00:00,0.028
1,07/07/2015 00:30,0.028
1,07/07/2015 01:00,0.028
1,07/07/2015 01:30,0.028
1,07/07/2015 02:00,0.029
1,07/07/2015 02:30,0.028
1,07/07/2015 03:00,0.028
1,07/07/2015 03:30,0.028
1,07/07/2015 04:00,0.028
1,07/07/2015 04:30,0.028
1,07/07/2015 05:00,0.028
1,07/07/2015 05:30,0.028
1,07/07/2015 06:00,0.028
1,07/07/2015 06:30,0.039
1,07/07/2015 07:00,0.028
1,07/07/2015 07:30,0.028
1,07/07/2015 08:00,0.027
1,07/07/2015 08:30,0.04
1,07/07/2015 09:00,0.028
1,07/07/2015 09:30,0.027
1,07/07/2015 10:00,0.027
1,07/07/2015 10:30,0.027
1,07/07/2015 11:00,0.028
1,07/07/2015 11:30,0.028
1,07/07/2015 12:00,0.028
1,07/07/2015 12:30,0.027
1,07/07/2015 13:00,0.039
1,07/07/2015 13:30,0.028
1,07/07/2015 14:00,0.027
1,07/07/2015 14:30,0.028
1,07/07/2015 15:00,0.027
1,07/07/2015 15:30,0.028
1,07/07/2015 16:00,0.027
1,07/07/2015 16:30,0.027
1,07/07/2015 17:00,0.028
1,07/07/2015 17:30,0.027
1,07/07/2015 18:00,0.039
1,07/07/2015 18:30,0.027
1,07/07/2015 19:00,0.028
1,07/07/2015 19:30,0.028
1,07/07/2015 20:00,0.027
1,07/07/2015 20:30,0.027
1,07/07/2015 21:00,0.027
1,07/07/2015 21:30,0.039
1,07/07/2015 22:00,0.032
1,07/07/2015 22:30,0.047
1,07/07/2015 23:00,0.027
1,07/07/2015 23:30,0.028
1,08/07/2015 00:00,0.04
1,08/07/2015 00:30,0.028
1,08/07/2015 01:00,0.029
1,08/07/2015 01:30,0.028
1,08/07/2015 02:00,0.028
1,08/07/2015 02:30,0.028
1,08/07/2015 03:00,0.028
1,08/07/2015 03:30,0.028
1,08/07/2015 04:00,0.028
1,08/07/2015 04:30,0.029
1,08/07/2015 05:00,0.028
1,08/07/2015 05:30,0.028
1,08/07/2015 06:00,0.028
1,08/07/2015 06:30,0.027
1,08/07/2015 07:00,0.028
1,08/07/2015 07:30,0.028
1,08/07/2015 08:00,0.028
1,08/07/2015 08:30,0.028
1,08/07/2015 09:00,0.029
1,08/07/2015 09:30,0.032
1,08/07/2015 10:00,0.036
1,08/07/2015 10:30,0.028
1,08/07/2015 11:00,0.028
1,08/07/2015 11:30,0.027
1,08/07/2015 12:00,0.028
1,08/07/2015 12:30,0.028
1,08/07/2015 13:00,0.028
1,08/07/2015 13:30,0.028
1,08/07/2015 14:00,0.028
1,08/07/2015 14:30,0.028
1,08/07/2015 15:00,0.028
1,08/07/2015 15:30,0.028
1,08/07/2015 16:00,0.028
1,08/07/2015 16:30,0.028
1,08/07/2015 17:00,0.027
1,08/07/2015 17:30,0.027
1,08/07/2015 18:00,0.028
1,08/07/2015 18:30,0.039
1,08/07/2015 19:00,0.027
1,08/07/2015 19:30,0.027
1,08/07/2015 20:00,0.027
1,08/07/2015 20:30,0.028
1,08/07/2015 21:00,0.028
1,08/07/2015 21:30,0.028
1,08/07/2015 22:00,0.039
1,08/07/2015 22:30,0.029
1,08/07/2015 23:00,0.027
1,08/07/2015 23:30,0.028
1,09/07/2015 00:00,0.028
1,09/07/2015 00:30,0.028
1,09/07/2015 01:00,0.028
1,09/07/2015 01:30,0.028
1,09/07/2015 02:00,0.028
1,09/07/2015 02:30,0.029
1,09/07/2015 03:00,0.028
1,09/07/2015 03:30,0.028
1,09/07/2015 04:00,0.028
1,09/07/2015 04:30,0.029
1,09/07/2015 05:00,0.027
1,09/07/2015 05:30,0.029
1,09/07/2015 06:00,0.028
1,09/07/2015 06:30,0.027
1,09/07/2015 07:00,0.028
1,09/07/2015 07:30,0.028
1,09/07/2015 08:00,0.027
1,09/07/2015 08:30,0.028
1,09/07/2015 09:00,0.028
1,09/07/2015 09:30,0.028
1,09/07/2015 10:00,0.027
1,09/07/2015 10:30,0.033
1,09/07/2015 11:00,0.034
1,09/07/2015 11:30,0.028
1,09/07/2015 12:00,0.028
1,09/07/2015 12:30,0.028
1,09/07/2015 13:00,0.027
1,09/07/2015 13:30,0.028
1,09/07/2015 14:00,0.028
1,09/07/2015 14:30,0.028
1,09/07/2015 15:00,0.028
1,09/07/2015 15:30,0.028
1,09/07/2015 16:00,0.028
1,09/07/2015 16:30,0.028
1,09/07/2015 17:00,0.027
1,09/07/2015 17:30,0.026
1,09/07/2015 18:00,0.028
1,09/07/2015 18:30,0.029
1,09/07/2015 19:00,0.028
1,09/07/2015 19:30,0.028
1,09/07/2015 20:00,0.027
1,09/07/2015 20:30,0.028
1,09/07/2015 21:00,0.027
1,09/07/2015 21:30,0.029
1,09/07/2015 22:00,0.037
1,09/07/2015 22:30,0.033
1,09/07/2015 23:00,0.039
1,09/07/2015 23:30,0.028
1,10/07/2015 00:00,0.029
1,10/07/2015 00:30,0.028
1,10/07/2015 01:00,0.029
1,10/07/2015 01:30,0.04
1,10/07/2015 02:00,0.029
1,10/07/2015 02:30,0.029
1,10/07/2015 03:00,0.029
1,10/07/2015 03:30,0.028
1,10/07/2015 04:00,0.029
1,10/07/2015 04:30,0.029
1,10/07/2015 05:00,0.029
1,10/07/2015 05:30,0.028
1,10/07/2015 06:00,0.029
1,10/07/2015 06:30,0.028
1,10/07/2015 07:00,0.028
1,10/07/2015 07:30,0.028
1,10/07/2015 08:00,0.028
1,10/07/2015 08:30,0.041
1,10/07/2015 09:00,0.028
1,10/07/2015 09:30,0.028
1,10/07/2015 10:00,0.028
1,10/07/2015 10:30,0.028
1,10/07/2015 11:00,0.028
1,10/07/2015 11:30,0.027
1,10/07/2015 12:00,0.028
1,10/07/2015 12:30,0.027
1,10/07/2015 13:00,0.028
1,10/07/2015 13:30,0.028
1,10/07/2015 14:00,0.028
1,10/07/2015 14:30,0.028
1,10/07/2015 15:00,0.028
1,10/07/2015 15:30,0.028
1,10/07/2015 16:00,0.028
1,10/07/2015 16:30,0.028
1,10/07/2015 17:00,0.028
1,10/07/2015 17:30,0.027
1,10/07/2015 18:00,0.04
1,10/07/2015 18:30,0.027
1,10/07/2015 19:00,0.04
1,10/07/2015 19:30,0.028
1,10/07/2015 20:00,0.028
1,10/07/2015 20:30,0.027
1,10/07/2015 21:00,0.03
1,10/07/2015 21:30,0.047
1,10/07/2015 22:00,0.04
1,10/07/2015 22:30,0.027
1,10/07/2015 23:00,0.028
1,10/07/2015 23:30,0.027
1,11/07/2015 00:00,0.028
1,11/07/2015 00:30,0.028
1,11/07/2015 01:00,0.04
1,11/07/2015 01:30,0.029
1,11/07/2015 02:00,0.028
1,11/07/2015 02:30,0.028
1,11/07/2015 03:00,0.029
1,11/07/2015 03:30,0.027
1,11/07/2015 04:00,0.029
1,11/07/2015 04:30,0.027
1,11/07/2015 05:00,0.028
1,11/07/2015 05:30,0.028
1,11/07/2015 06:00,0.028
1,11/07/2015 06:30,0.027
1,11/07/2015 07:00,0.028
1,11/07/2015 07:30,0.027
1,11/07/2015 08:00,0.027
1,11/07/2015 08:30,0.028
1,11/07/2015 09:00,0.027
1,11/07/2015 09:30,0.028
1,11/07/2015 10:00,0.028
1,11/07/2015 10:30,0.028
1,11/07/2015 11:00,0.027
1,11/07/2015 11:30,0.028
1,11/07/2015 12:00,0.027
1,11/07/2015 12:30,0.028
1,11/07/2015 13:00,0.027
1,11/07/2015 13:30,0.027
1,11/07/2015 14:00,0.028
1,11/07/2015 14:30,0.027
1,11/07/2015 15:00,0.027
1,11/07/2015 15:30,0.028
1,11/07/2015 16:00,0.027
1,11/07/2015 16:30,0.039
1,11/07/2015 17:00,0.027
1,11/07/2015 17:30,0.028
1,11/07/2015 18:00,0.028
1,11/07/2015 18:30,0.028
1,11/07/2015 19:00,0.027
1,11/07/2015 19:30,0.052
1,11/07/2015 20:00,0.059
1,11/07/2015 20:30,0.028
1,11/07/2015 21:00,0.027
1,11/07/2015 21:30,0.028
1,11/07/2015 22:00,0.04
1,11/07/2015 22:30,0.028
1,11/07/2015 23:00,0.028
1,11/07/2015 23:30,0.028
1,12/07/2015 00:00,0.028
1,12/07/2015 00:30,0.028
1,12/07/2015 01:00,0.034
1,12/07/2015 01:30,0.034
1,12/07/2015 02:00,0.028
1,12/07/2015 02:30,0.029
1,12/07/2015 03:00,0.028
1,12/07/2015 03:30,0.027
1,12/07/2015 04:00,0.028
1,12/07/2015 04:30,0.029
1,12/07/2015 05:00,0.028
1,12/07/2015 05:30,0.028
1,12/07/2015 06:00,0.028
1,12/07/2015 06:30,0.028
1,12/07/2015 07:00,0.027
1,12/07/2015 07:30,0.028
1,12/07/2015 08:00,0.027
1,12/07/2015 08:30,0.027
1,12/07/2015 09:00,0.028
1,12/07/2015 09:30,0.027
1,12/07/2015 10:00,0.028
1,12/07/2015 10:30,0.027
1,12/07/2015 11:00,0.027
1,12/07/2015 11:30,0.027
1,12/07/2015 12:00,0.028
1,12/07/2015 12:30,0.027
1,12/07/2015 13:00,0.028
1,12/07/2015 13:30,0.028
1,12/07/2015 14:00,0.028
1,12/07/2015 14:30,0.028
1,12/07/2015 15:00,0.028
1,12/07/2015 15:30,0.028
1,12/07/2015 16:00,0.028
1,12/07/2015 16:30,0.027
1,12/07/2015 17:00,0.028
1,12/07/2015 17:30,0.028
1,12/07/2015 18:00,0.028
1,12/07/2015 18:30,0.027
1,12/07/2015 19:00,0.028
1,12/07/2015 19:30,0.027
1,12/07/2015 20:00,0.027
1,12/07/2015 20:30,0.028
1,12/07/2015 21:00,0.028
1,12/07/2015 21:30,0.027
