CustomerNumber,profileDeviceInterval,ProfileDeviceIntervalReading
1,12/07/2015 22:00,0.041
1,12/07/2015 22:30,0.028
1,12/07/2015 23:00,0.028
1,12/07/2015 23:30,0.028
1,13/07/2015 00:00,0.04
1,13/07/2015 00:30,0.028
1,13/07/2015 01:00,0.028
1,13/07/2015 01:30,0.029
1,13/07/2015 02:00,0.028
1,13/07/2015 02:30,0.028
1,13/07/2015 03:00,0.028
1,13/07/2015 03:30,0.028
1,13/07/2015 04:00,0.028
1,13/07/2015 04:30,0.029
1,13/07/2015 05:00,0.027
1,13/07/2015 05:30,0.029
1,13/07/2015 06:00,0.028
1,13/07/2015 06:30,0.027
1,13/07/2015 07:00,0.028
1,13/07/2015 07:30,0.029
1,13/07/2015 08:00,0.028
1,13/07/2015 08:30,0.028
1,13/07/2015 09:00,0.028
1,13/07/2015 09:30,0.028
1,13/07/2015 10:00,0.028
1,13/07/2015 10:30,0.027
